2026-07-15 19:19:23,539 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:23,539 | test.py |   [Inventory] Contents:
2026-07-15 19:19:23,539 | test.py |     - Wood: 6
2026-07-15 19:19:23,539 | test.py |     - Stone: 8
2026-07-15 19:19:23,539 | test.py | ====================================================
2026-07-15 19:19:23,539 | job.py | target is 7
2026-07-15 19:19:23,539 | job.py | target is (5, 10)
2026-07-15 19:19:23,539 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:24,141 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:24,141 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:24,141 | test.py |   [Hunger] Value: -120
2026-07-15 19:19:24,141 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:24,141 | test.py |   [Inventory] Contents:
2026-07-15 19:19:24,141 | test.py |     - Wood: 6
2026-07-15 19:19:24,141 | test.py |     - Stone: 8
2026-07-15 19:19:24,141 | test.py | ====================================================
2026-07-15 19:19:24,142 | job.py | target is 7
2026-07-15 19:19:24,143 | job.py | target is (5, 10)
2026-07-15 19:19:24,143 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:24,746 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:24,747 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:24,747 | test.py |   [Hunger] Value: -140
2026-07-15 19:19:24,747 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:24,747 | test.py |   [Inventory] Contents:
2026-07-15 19:19:24,747 | test.py |     - Wood: 6
2026-07-15 19:19:24,747 | test.py |     - Stone: 8
2026-07-15 19:19:24,747 | test.py | ====================================================
2026-07-15 19:19:24,747 | job.py | target is 7
2026-07-15 19:19:24,747 | job.py | target is (5, 10)
2026-07-15 19:19:24,747 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:25,348 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:25,349 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:25,349 | test.py |   [Hunger] Value: -160
2026-07-15 19:19:25,349 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:25,349 | test.py |   [Inventory] Contents:
2026-07-15 19:19:25,349 | test.py |     - Wood: 6
2026-07-15 19:19:25,349 | test.py |     - Stone: 8
2026-07-15 19:19:25,349 | test.py | ====================================================
2026-07-15 19:19:25,349 | job.py | target is 7
2026-07-15 19:19:25,349 | job.py | target is (5, 10)
2026-07-15 19:19:25,349 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:25,950 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:25,950 | test.py |   [State] Currently in state: Idle
